VenueID,Name
5059,Nationwide Arena
5064,Pepsi Center
5066,PNC Arena
5067,Prudential Center
5072,Northlands Coliseum
5073,Rogers Arena
5074,SAP Center
5075,Scotiabank Saddledome
5076,Scottrade Center
5077,Sleep Train Arena
5081,Staples Center
5085,TD Garden
4965,Monongalia County Ballpark
4990,Estadio BBVA Bancomer
4705,SunTrust Park
5092,United Center
5094,Verizon Center
5096,Wells Fargo Center
5098,Xcel Energy Center
5100,Rogers Place
5280,Golden 1 Center
5305,Kansas City Convention Center
4980,Segra Park
4995,Estadio de los Tomateros
4977,Giants Baseball Complex
4711,Koshien Stadium
4712,Sapporo Dome
4713,Okinawa Cellular Stadium
4960,MGM Park
5145,Little Caesars Arena
5150,Gocheok Sky Dome
5270,Duke Energy Convention Center
5000,FITTEAM Ballpark of the Palm Beaches
5010,Fort Bragg Field
5275,Hank McCamish Pavilion
5276,Mohegan Sun Arena
5277,College Park Center
5285,Jim Perry Stadium
5245,Nuevo Estadio Yaquis
5376,Auckland-New Zealand
5435,IMG Academy
5430,Magic Box
5355,Las Vegas Ballpark
5345,SRP Park
5360,Sliwa Stadium
5350,Maestri Stadium
5351,Wesley Barrow Stadium
5370,Texas Live!
5385,Mazda Zoom Zoom Stadium
5335,Estadio Evaristo 'Varo' Roldan
5336,Estadio Hermanos Marrero
5400,SEGRA Stadium
5381,London Stadium
5410,New Worcester Stadium
5425,Fredericksburg Baseball Stadium
5415,Hodgetown
5390,Foxwoods Winter Weekend
5416,Regency Furniture Stadium
5417,BB&T Point Ballpark
5418,TD Bank Ballpark
5419,Bethpage Ballpark
5420,Clipper Magazine Stadium
5421,Constellation Field
5422,PeoplesBank Park
5375,Geelong-Korea
5365,TD Ameritrade Park
5395,Nagoya Dome
5405,Blue Lake Sports Park
5380,CoolToday Park
5340,Estadio Alfredo Harp Helu
5330,Uni-Trade Stadium
3015,Les Murakami Stadium
3016,Hans L'Orange Field
3729,FIU Baseball Stadium
5190,Charlotte Coliseum
5191,Memorial Coliseum
5192,Edgerton Park Arena
5193,Rochester Community War Mem
5194,Cincinnati Gardens
5195,Municipal Auditorium
5196,ARCO Arena
5197,Dallas Memorial Auditorium
5198,Tarrant County Convention Center
5199,HemisFair Arena
5200,Municipal Auditorium
5201,Salt Palace
5202,International Amphitheatre
5203,Baltimore Civic Center
5204,Cleveland Arena
5205,Coliseum at Richfield
5206,Denver Arena Auditorium
5207,North Side High School
5208,War Memorial Coliseum
5209,Olympic Stadium
5210,Cobo Arena
5211,Pontiac Silverdome
5212,Philadelphia Arena
5213,Municipal Auditorium
5214,San Francisco Civic Auditorium
5215,San Diego Sports Arena
5216,Hofheinz Pavilion
5217,Compaq Center
5218,Indiana State Fairgrounds Coliseum
5219,Market Square Arena
5220,Minneapolis Auditorium
5221,Minneapolis Armory
5222,Pyramid Arena
5224,Tacoma Dome
5225,Amway Arena
5226,State Fair Coliseum
5228,Arizona Veterans Memorial Coliseum
5229,Wharton Fieldhouse
5230,MECCA Arena
5231,Kiel Auditorium
5232,Alexander Coliseum
5233,Teaneck Armory
5234,Long Island Arena
5235,Island Garden
5236,Rutgers Athletic Center
5237,Izod Center
3269,Gezer Field
3270,Sportek Baseball Field
3271,Yarkon Sports Complex
3512,Wukesong Baseball Stadium
4720,Artillery Park
4721,Athletic Park
4722,Bay Street Ball Grounds
4723,Bill Wigle Field
4724,Bob Hoffman Stadium
4725,Browning-Leonard Park
4726,Chemeteka Community College
4727,Clark Field
4728,Clyde Allen Field
4729,Devereaux Meadow
4730,Dobyns-Bennett High School
4732,Durkee Field
4733,Island Field
4734,Jennings Stadium
4735,John Affleck Park
4736,Johnson Field
4737,Lauer's Park
4738,Lawrence Stadium
4739,League Park
4740,Marion High School
4741,Max Hess Stadium
4742,McConnell Field
4743,McNearney Stadium
4744,Municipal Stadium
4745,Paul G. Fyffe Field
4746,Robbins Park
4747,Schepps Palm Field
4748,Scranton Stadium
4749,Senior High Stadium
4750,Stade Bellevue
4751,Stumpf Field
4752,Tech Field
4753,Texas League Park
4754,Tullar Field
4755,Withers Field
4756,Withers Field
4757,Ainsworth Field
4758,Al Lopez Field
4759,Albuquerque Sports Stadium
4760,All-Sports Stadium
4761,Alumni Field
4762,Alumni Field
4763,Anderson Memorial Stadium
4764,Angels Stadium
4765,Athletic Park
4766,Athletic Park
4767,Baseball City Stadium
4768,Beehive Field
4769,Bernie Arbour Memorial stadium
4770,Bethel Park
4771,Borchert Field
4772,Bosse Field
4773,Bosse Field
4774,Bringhurst Field
4775,Brooks Field
4776,Buffalo Stadium
4777,Bulkeley Stadium
4778,Burlington Athletic Park
4779,Burnett Field
4780,Burns Stadium
4781,Bush Field
4783,Cardinal Field
4784,Casey Field
4785,Coastal Carolina College Stadium
4786,City Park Stadium
4787,Civic Stadium
4788,Crockett Park
4789,Cobb Field
4790,Colburn Park
4791,College of Staten Island Baseball Complex
4792,College Park
4793,Community Park
4794,Conrad Park
4795,Corning Memorial Stadium
4796,Cranberry Ballpark
4797,Danville Stadium
4798,DeLorimier Downs
4799,Derks Field
4800,Disch Field
4801,Donovan Stadium
4803,Duncan Park
4804,Dunn Field
4805,Durham Athletic Park
4806,East Field
4807,Edmonds Field
4808,Engel Stadium
4809,Euless Park
4810,Fair Grounds Field
4811,Fair Grounds Park
4812,Fans Field
4813,Ferris Field
4814,Finch Field
4815,Fiscalini Field
4816,Fleming Stadium
4818,Four Mile Run Park
4819,Giants Field
4820,Gill Stadium
4821,Gilmore Field
4823,Goodland Field
4825,Haliwell Park
4826,Peninsula War Memorial Stadium
4827,Hartwell Field
4828,Hawkins Stadium
4829,Heaton Stadium
4830,Henderson Stadium
4832,Heritage Park
4833,Hilltop Park
4834,Holman Stadium
4835,Holt-Moffit Field
4836,Honolulu Stadium
4837,Hooker Field
4838,Hughes Stadium
4839,Joe Martin Field
4840,John Ducey Park
4841,John Petrakis Field
4842,Kiwanis Field
4843,Knoxville Municipal Stadium
4844,Labatt Park
4845,Laguna Park
4846,Laguna Park
4847,Lane Field
4848,Lanphier Park
4849,Lansdowne Park
4850,Larry H. Miller Field
4851,Lawrence Park
3689,Telus Field
3690,Seaman Stadium
4009,Miyagi Stadium
4010,Tsuruoka Dream Stadium
4011,Meiji Jingu Stadium
4012,Prince George Citizen Field
4853,Legion Field
4854,Legion Stadium
4855,Lexington Stadium
4856,Luther Williams Field
4857,MacArthur Stadium
4858,Maple Leaf Stadium
4859,Marinelli Field
4860,McDonough Park
4861,Meadowbrook Park
4862,Meinen Stadium
4863,Met Park
4864,Miami Stadium
4865,Midway Stadium
4866,Miles Field
4867,Mirmow Stadium
4868,Mission Stadium
4869,Moana Stadium
4870,Municipal Park
4871,Municipal Stadium
4872,Municipal Stadium
4873,Muzzy Field
4874,Ned Skeldon Stadium
4875,Nicollet Park
4876,Oaks Park
4877,Offermann Stadium
4878,Oiler Park
4879,Olympic Stadium
4880,Parker Field
4881,Parker Field
4882,Parkway Field
4883,Pat Thomas Stadium
4884,Paterson Field
4885,Paul Eames Sports Complex
4886,Payne Park
4887,Pelican Stadium
4888,Pete Beiden Field
4889,Pete Vonachen Stadium
4890,Pikeville Athletic Field Complex
4891,Point Stadium
4892,Pompano Beach Municipal Stadium
4893,Ponce de Leon Park
4894,Potter County Memorial Stadium
4895,Privateer Park
4896,Pynchon Stadium
4897,Q Stadium
4898,Queens Park Stadium
4899,Quigley Stadium
4900,Recreation Park
4901,Riley Park
4902,Riverfront Stadium
4903,Riverside Sports Complex
4904,Toro Stadium
4905,Rohnert Park Stadium
4906,Royal Athletic Park
4907,Ruppert Stadium
4908,Russwood Park
4909,Sal Maglie Stadium
4910,Salinas Municipal Stadium
4911,Samuel W. Wolfson Park
4912,Sanders-Jacobs Field
4913,Sec Taylor Stadium
4914,Serge B. Simmons Field
4915,Silver Stadium
4916,Simmons Field
4917,Simplot Stadium
4029,Goodwin Field
3669,Botchan Stadium
3670,Madonna Stadium
4918,Sims Legion Park
4919,Smithson Stadium
