GameID,Season,GameDate,Status,AwayTeamID,AwayTeamScore,AwayTeamRecordWins,AwayTeamRecordLosses,AwayTeamRecordPct,HomeTeamID,HomeTeamScore,HomeTeamRecordWins,HomeTeamRecordLosses,HomeTeamRecordPct,VenueID,DayNight,GamesInSeries,SeriesGameNumber,SeriesDescription
529506,2018,4/5/2018 11:05,Final,139,2,1,6,0.143,111,3,6,1,0.143,3,day,3,1,Regular Season
529503,2018,4/5/2018 12:05,Final,146,0,2,5,0.286,143,5,2,4,0.286,2681,day,3,1,Regular Season
529507,2018,4/5/2018 12:35,Final,140,6,3,5,0.375,133,3,3,5,0.375,10,day,4,4,Regular Season
529501,2018,4/5/2018 12:40,Final,115,3,4,3,0.571,135,1,1,6,0.571,2680,day,4,4,Regular Season
529502,2018,4/5/2018 13:10,Final,116,9,2,4,0.333,145,7,3,3,0.333,4,day,3,1,Regular Season
529505,2018,4/5/2018 13:10,Final,136,2,3,3,0.5,142,4,4,2,0.5,3312,day,2,1,Regular Season
529498,2018,4/5/2018 15:35,Final,110,5,2,5,0.286,147,2,4,3,0.286,3313,night,4,1,Regular Season
529500,2018,4/5/2018 16:05,Final,113,2,1,4,0.2,134,5,5,1,0.2,31,night,4,1,Regular Season
529497,2018,4/5/2018 16:15,Final,109,3,6,1,0.857,138,1,3,4,0.857,2889,night,3,1,Regular Season
529499,2018,4/5/2018 17:10,Final,112,8,3,3,0.5,158,0,4,3,0.5,32,night,4,1,Regular Season
529508,2018,4/6/2018 13:10,Final,144,8,5,2,0.714,115,3,4,4,0.714,19,day,3,1,Regular Season
529512,2018,4/6/2018 13:10,Final,118,2,1,4,0.2,114,3,3,4,0.2,5,day,3,1,Regular Season
529509,2018,4/6/2018 16:05,Final,110,7,3,5,0.375,147,3,4,4,0.375,3313,night,4,2,Regular Season
529511,2018,4/6/2018 16:05,Final,113,3,1,5,0.167,134,14,6,1,0.167,31,night,4,2,Regular Season
529516,2018,4/6/2018 17:05,Final,141,8,5,3,0.625,140,5,3,6,0.625,13,night,3,1,Regular Season
